pays;ISO3;region;sub-region
Afghanistan;AFG;Asie;Southern Asia
Åland Islands;ALA;Europe;Northern Europe
Albania;ALB;Europe;Southern Europe
Algeria;DZA;Afrique;Northern Africa
American Samoa;ASM;Oceanie;Polynesia
Andorra;AND;Europe;Southern Europe
Angola;AGO;Afrique;Sub-Saharan Africa
Anguilla;AIA;Amerique;Latin America and the Caribbean
Antigua and Barbuda;ATG;Amerique;Latin America and the Caribbean
Argentina;ARG;Amerique;Latin America and the Caribbean
Armenia;ARM;Asie;Western Asia
Aruba;ABW;Amerique;Latin America and the Caribbean
Australia;AUS;Oceanie;Australia and New Zealand
Austria;AUT;Europe;Western Europe
Azerbaijan;AZE;Asie;Western Asia
Bahamas;BHS;Amerique;Latin America and the Caribbean
Bahrain;BHR;Asie;Western Asia
Bangladesh;BGD;Asie;Southern Asia
Barbados;BRB;Amerique;Latin America and the Caribbean
Belarus;BLR;Europe;Eastern Europe
Belgium;BEL;Europe;Western Europe
Belize;BLZ;Amerique;Latin America and the Caribbean
Benin;BEN;Afrique;Sub-Saharan Africa
Bermuda;BMU;Amerique;Northern America
Bhutan;BTN;Asie;Southern Asia
Bolivia (Plurinational State of);BOL;Amerique;Latin America and the Caribbean
Bonaire Sint Eustatius and Saba;BES;Amerique;Latin America and the Caribbean
Bosnia and Herzegovina;BIH;Europe;Southern Europe
Botswana;BWA;Afrique;Sub-Saharan Africa
Bouvet Island;BVT;Amerique;Latin America and the Caribbean
Brazil;BRA;Amerique;Latin America and the Caribbean
British Indian Ocean Territory;IOT;Afrique;Sub-Saharan Africa
Brunei Darussalam;BRN;Asie;South-eastern Asia
Bulgaria;BGR;Europe;Eastern Europe
Burkina Faso;BFA;Afrique;Sub-Saharan Africa
Burundi;BDI;Afrique;Sub-Saharan Africa
Cabo Verde;CPV;Afrique;Sub-Saharan Africa
Cambodia;KHM;Asie;South-eastern Asia
Cameroon;CMR;Afrique;Sub-Saharan Africa
Canada;CAN;Amerique;Northern America
Cayman Islands;CYM;Amerique;Latin America and the Caribbean
Central African Republic;CAF;Afrique;Sub-Saharan Africa
Chad;TCD;Afrique;Sub-Saharan Africa
Chile;CHL;Amerique;Latin America and the Caribbean
China;CHN;Asie;Eastern Asia
Christmas Island;CXR;Oceanie;Australia and New Zealand
Cocos (Keeling) Islands;CCK;Oceanie;Australia and New Zealand
Colombia;COL;Amerique;Latin America and the Caribbean
Comoros;COM;Afrique;Sub-Saharan Africa
Congo;COG;Afrique;Sub-Saharan Africa
Congo Democratic Republic of the;COD;Afrique;Sub-Saharan Africa
Cook Islands;COK;Oceanie;Polynesia
Costa Rica;CRI;Amerique;Latin America and the Caribbean
Côte d'Ivoire;CIV;Afrique;Sub-Saharan Africa
Croatia;HRV;Europe;Southern Europe
Cuba;CUB;Amerique;Latin America and the Caribbean
Curaçao;CUW;Amerique;Latin America and the Caribbean
Cyprus;CYP;Asie;Western Asia
Czechia;CZE;Europe;Eastern Europe
Denmark;DNK;Europe;Northern Europe
Djibouti;DJI;Afrique;Sub-Saharan Africa
Dominica;DMA;Amerique;Latin America and the Caribbean
Dominican Republic;DOM;Amerique;Latin America and the Caribbean
Ecuador;ECU;Amerique;Latin America and the Caribbean
Egypt;EGY;Afrique;Northern Africa
El Salvador;SLV;Amerique;Latin America and the Caribbean
Equatorial Guinea;GNQ;Afrique;Sub-Saharan Africa
Eritrea;ERI;Afrique;Sub-Saharan Africa
Estonia;EST;Europe;Northern Europe
Eswatini;SWZ;Afrique;Sub-Saharan Africa
Ethiopia;ETH;Afrique;Sub-Saharan Africa
Falkland Islands (Malvinas);FLK;Amerique;Latin America and the Caribbean
Faroe Islands;FRO;Europe;Northern Europe
Fiji;FJI;Oceanie;Melanesia
Finland;FIN;Europe;Northern Europe
France;FRA;Europe;Western Europe
French Guiana;GUF;Amerique;Latin America and the Caribbean
French Polynesia;PYF;Oceanie;Polynesia
French Southern Territories;ATF;Afrique;Sub-Saharan Africa
Gabon;GAB;Afrique;Sub-Saharan Africa
Gambia;GMB;Afrique;Sub-Saharan Africa
Georgia;GEO;Asie;Western Asia
Germany;DEU;Europe;Western Europe
Ghana;GHA;Afrique;Sub-Saharan Africa
Gibraltar;GIB;Europe;Southern Europe
Greece;GRC;Europe;Southern Europe
Greenland;GRL;Amerique;Northern America
Grenada;GRD;Amerique;Latin America and the Caribbean
Guadeloupe;GLP;Amerique;Latin America and the Caribbean
Guam;GUM;Oceanie;Micronesia
Guatemala;GTM;Amerique;Latin America and the Caribbean
Guernsey;GGY;Europe;Northern Europe
Guinea;GIN;Afrique;Sub-Saharan Africa
Guinea-Bissau;GNB;Afrique;Sub-Saharan Africa
Guyana;GUY;Amerique;Latin America and the Caribbean
Haiti;HTI;Amerique;Latin America and the Caribbean
Heard Island and McDonald Islands;HMD;Oceanie;Australia and New Zealand
Holy See;VAT;Europe;Southern Europe
Honduras;HND;Amerique;Latin America and the Caribbean
Hong Kong;HKG;Asie;Eastern Asia
Hungary;HUN;Europe;Eastern Europe
Iceland;ISL;Europe;Northern Europe
India;IND;Asie;Southern Asia
Indonesia;IDN;Asie;South-eastern Asia
Iran (Islamic Republic of);IRN;Asie;Southern Asia
Iraq;IRQ;Asie;Western Asia
Ireland;IRL;Europe;Northern Europe
Isle of Man;IMN;Europe;Northern Europe
Israel;ISR;Asie;Western Asia
Italy;ITA;Europe;Southern Europe
Jamaica;JAM;Amerique;Latin America and the Caribbean
Japan;JPN;Asie;Eastern Asia
Jersey;JEY;Europe;Northern Europe
Jordan;JOR;Asie;Western Asia
Kazakhstan;KAZ;Asie;Central Asia
Kenya;KEN;Afrique;Sub-Saharan Africa
Kiribati;KIR;Oceanie;Micronesia
Korea (Democratic People's Republic of);PRK;Asie;Eastern Asia
Korea Republic of;KOR;Asie;Eastern Asia
Kuwait;KWT;Asie;Western Asia
Kyrgyzstan;KGZ;Asie;Central Asia
Lao People's Democratic Republic;LAO;Asie;South-eastern Asia
Latvia;LVA;Europe;Northern Europe
Lebanon;LBN;Asie;Western Asia
Lesotho;LSO;Afrique;Sub-Saharan Africa
Liberia;LBR;Afrique;Sub-Saharan Africa
Libya;LBY;Afrique;Northern Africa
Liechtenstein;LIE;Europe;Western Europe
Lithuania;LTU;Europe;Northern Europe
Luxembourg;LUX;Europe;Western Europe
Macao;MAC;Asie;Eastern Asia
Madagascar;MDG;Afrique;Sub-Saharan Africa
Malawi;MWI;Afrique;Sub-Saharan Africa
Malaysia;MYS;Asie;South-eastern Asia
Maldives;MDV;Asie;Southern Asia
Mali;MLI;Afrique;Sub-Saharan Africa
Malta;MLT;Europe;Southern Europe
Marshall Islands;MHL;Oceanie;Micronesia
Martinique;MTQ;Amerique;Latin America and the Caribbean
Mauritania;MRT;Afrique;Sub-Saharan Africa
Mauritius;MUS;Afrique;Sub-Saharan Africa
Mayotte;MYT;Afrique;Sub-Saharan Africa
Mexico;MEX;Amerique;Latin America and the Caribbean
Micronesia (Federated States of);FSM;Oceanie;Micronesia
Moldova Republic of;MDA;Europe;Eastern Europe
Monaco;MCO;Europe;Western Europe
Mongolia;MNG;Asie;Eastern Asia
Montenegro;MNE;Europe;Southern Europe
Montserrat;MSR;Amerique;Latin America and the Caribbean
Morocco;MAR;Afrique;Northern Africa
Mozambique;MOZ;Afrique;Sub-Saharan Africa
Myanmar;MMR;Asie;South-eastern Asia
Namibia;NAM;Afrique;Sub-Saharan Africa
Nauru;NRU;Oceanie;Micronesia
Nepal;NPL;Asie;Southern Asia
Netherlands;NLD;Europe;Western Europe
New Caledonia;NCL;Oceanie;Melanesia
New Zealand;NZL;Oceanie;Australia and New Zealand
Nicaragua;NIC;Amerique;Latin America and the Caribbean
Niger;NER;Afrique;Sub-Saharan Africa
Nigeria;NGA;Afrique;Sub-Saharan Africa
Niue;NIU;Oceanie;Polynesia
Norfolk Island;NFK;Oceanie;Australia and New Zealand
North Macedonia;MKD;Europe;Southern Europe
Northern Mariana Islands;MNP;Oceanie;Micronesia
Norway;NOR;Europe;Northern Europe
Oman;OMN;Asie;Western Asia
Pakistan;PAK;Asie;Southern Asia
Palau;PLW;Oceanie;Micronesia
Palestine State of;PSE;Asie;Western Asia
Panama;PAN;Amerique;Latin America and the Caribbean
Papua New Guinea;PNG;Oceanie;Melanesia
Paraguay;PRY;Amerique;Latin America and the Caribbean
Peru;PER;Amerique;Latin America and the Caribbean
Philippines;PHL;Asie;South-eastern Asia
Pitcairn;PCN;Oceanie;Polynesia
Poland;POL;Europe;Eastern Europe
Portugal;PRT;Europe;Southern Europe
Puerto Rico;PRI;Amerique;Latin America and the Caribbean
Qatar;QAT;Asie;Western Asia
Réunion;REU;Afrique;Sub-Saharan Africa
Romania;ROU;Europe;Eastern Europe
Russian Federation;RUS;Europe;Eastern Europe
Rwanda;RWA;Afrique;Sub-Saharan Africa
Saint Barthélemy;BLM;Amerique;Latin America and the Caribbean
Saint Helena Ascension and Tristan da Cunha;SHN;Afrique;Sub-Saharan Africa
Saint Kitts and Nevis;KNA;Amerique;Latin America and the Caribbean
Saint Lucia;LCA;Amerique;Latin America and the Caribbean
Saint Martin (French part);MAF;Amerique;Latin America and the Caribbean
Saint Pierre and Miquelon;SPM;Amerique;Northern America
Saint Vincent and the Grenadines;VCT;Amerique;Latin America and the Caribbean
Samoa;WSM;Oceanie;Polynesia
San Marino;SMR;Europe;Southern Europe
Sao Tome and Principe;STP;Afrique;Sub-Saharan Africa
Saudi Arabia;SAU;Asie;Western Asia
Senegal;SEN;Afrique;Sub-Saharan Africa
Serbia;SRB;Europe;Southern Europe
Seychelles;SYC;Afrique;Sub-Saharan Africa
Sierra Leone;SLE;Afrique;Sub-Saharan Africa
Singapore;SGP;Asie;South-eastern Asia
Sint Maarten (Dutch part);SXM;Amerique;Latin America and the Caribbean
Slovakia;SVK;Europe;Eastern Europe
Slovenia;SVN;Europe;Southern Europe
Solomon Islands;SLB;Oceanie;Melanesia
Somalia;SOM;Afrique;Sub-Saharan Africa
South Africa;ZAF;Afrique;Sub-Saharan Africa
South Georgia and the South Sandwich Islands;SGS;Amerique;Latin America and the Caribbean
South Sudan;SSD;Afrique;Sub-Saharan Africa
Spain;ESP;Europe;Southern Europe
Sri Lanka;LKA;Asie;Southern Asia
Sudan;SDN;Afrique;Northern Africa
Suriname;SUR;Amerique;Latin America and the Caribbean
Svalbard and Jan Mayen;SJM;Europe;Northern Europe
Sweden;SWE;Europe;Northern Europe
Switzerland;CHE;Europe;Western Europe
Syrian Arab Republic;SYR;Asie;Western Asia
Taiwan Province of China;TWN;Asie;Eastern Asia
Tajikistan;TJK;Asie;Central Asia
Tanzania United Republic of;TZA;Afrique;Sub-Saharan Africa
Thailand;THA;Asie;South-eastern Asia
Timor-Leste;TLS;Asie;South-eastern Asia
Togo;TGO;Afrique;Sub-Saharan Africa
Tokelau;TKL;Oceanie;Polynesia
Tonga;TON;Oceanie;Polynesia
Trinidad and Tobago;TTO;Amerique;Latin America and the Caribbean
Tunisia;TUN;Afrique;Northern Africa
Turkey;TUR;Asie;Western Asia
Turkmenistan;TKM;Asie;Central Asia
Turks and Caicos Islands;TCA;Amerique;Latin America and the Caribbean
Tuvalu;TUV;Oceanie;Polynesia
Uganda;UGA;Afrique;Sub-Saharan Africa
Ukraine;UKR;Europe;Eastern Europe
United Arab Emirates;ARE;Asie;Western Asia
United Kingdom of Great Britain and Northern Ireland;GBR;Europe;Northern Europe
United States of America;USA;Amerique;Northern America
United States Minor Outlying Islands;UMI;Oceanie;Micronesia
Uruguay;URY;Amerique;Latin America and the Caribbean
Uzbekistan;UZB;Asie;Central Asia
Vanuatu;VUT;Oceanie;Melanesia
Venezuela (Bolivarian Republic of);VEN;Amerique;Latin America and the Caribbean
Viet Nam;VNM;Asie;South-eastern Asia
Virgin Islands (British);VGB;Amerique;Latin America and the Caribbean
Virgin Islands (U.S.);VIR;Amerique;Latin America and the Caribbean
Wallis and Futuna;WLF;Oceanie;Polynesia
Western Sahara;ESH;Afrique;Northern Africa
Yemen;YEM;Asie;Western Asia
Zambia;ZMB;Afrique;Sub-Saharan Africa
Zimbabwe;ZWE;Afrique;Sub-Saharan Africa
